           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected        0.791149        -0.14834       -0.593362              -0              -0    -8.53774e-07               1               0               0               0               0               0               0               1
               2        0.219727     -0.00667065       -0.975539        -3.06637        -6.64698        0.698595         119.704        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3     -0.00628387       -0.154158       -0.988026        -1.53542        -2.31196       -0.483979          1.7995        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4      -0.0854708       0.0478925       -0.995189         -1.6915         3.20605       -0.342434        0.912543        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5       -0.183826        0.494267       -0.849652        0.435315         1.13301       0.0809084        0.902895        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
