           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
           0_ref       -0.877784        0.192015       -0.438892              -0              -0               0               1               0               0               0               0               0               0               1
               1       -0.130926        0.886726        0.443368         4.66161        -33.9497        -2.76021         2.65038               1               0               0        -1.78574        -5.48277         2.10732         1.14018
               2      -0.0974233        0.335526         0.93698         6.30548        -38.7084        -4.76091         4.20797        0.894427               0        0.447214        -2.14282        -6.57735         1.65843         1.34371
               3        0.309012      -0.0738271        0.948188         5.71632        -53.5461        -5.67117         3.45751        0.707107               0        0.707107        0.726331        -5.06869         2.61766         1.32543
               4        0.526219         0.14933       -0.837134         4.74589        -35.9146        -2.64156         3.84661        0.847998               0       -0.529999        -1.41462        -10.7999         2.22505         1.51687
               5     -0.00403099        0.147319        0.989081         7.79605        -43.8053        -5.11538         5.79693        0.928477               0        0.371391       -0.188722        -16.6671          1.2212         2.54951
               9        0.886438       0.0193721       -0.462443         6.66987        -44.5372        -4.69206         14.0073        0.936329               0       -0.351123       -0.872524        -18.0934         1.53858         2.01556
