           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected               0         0.99601      -0.0892469     8.53774e-07               0    -8.53774e-07               1               0               0               0               0               0               0               1
               2       0.0230246       0.0160842       -0.999606         -3.6249          -5.566        0.955049         1.80144        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3      -0.0164101       -0.028597       -0.999456        -1.25955        -2.34517       -0.124925         0.92686        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4       0.0210354       -0.153126       -0.987983         -2.2499       -0.851089      -0.0964294        0.945544        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5       0.0322618        -0.62319       -0.781405        -2.02561        -1.77186        0.390991        0.940056        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
