           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected               0        0.203954         0.97898               0               0              -0               1               0               0               0               0               0               0               1
               2       0.0820891      -0.0312456       -0.996135        -3.61859        -8.67408         1.08573         1.58174        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3       0.0654378       -0.169656       -0.983328        -1.55488        -4.73884       -0.218251         0.24267        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4     -0.00311516       -0.192861       -0.981221        -2.20221        0.315794       0.0990598        0.151791        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5      -0.0432054       -0.160875       -0.986029       -0.292858        -4.15733        0.406876        0.183312        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
