           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
           0_ref        0.288253      -0.0720633       -0.954839               0              -0               0               1               0               0               0               0               0               0               1
               1       0.0242443       -0.477594        0.878246        -2.38873        -10.5208         1.51549         1.60106               1               0               0        -1.78574        -5.48277         2.10732         1.14018
               2         0.16813      -0.0101424        0.985713        -2.87833        -12.5052        0.711095         1.42681        0.894427               0        0.447214        -2.14282        -6.57735         1.65843         1.34371
               3        0.222633      -0.0850101        0.971189        -2.03706        -11.0624         2.63807         1.44525        0.707107               0        0.707107        0.726331        -5.06869         2.61766         1.32543
               4        0.162692       -0.235877       -0.958068        -2.58473        -14.8374         1.53151         1.67495        0.847998               0       -0.529999        -1.41462        -10.7999         2.22505         1.51687
               5        0.318397       0.0565942        0.946267        -1.28875        -22.8369         1.11138         2.94548        0.928477               0        0.371391       -0.188722        -16.6671          1.2212         2.54951
               9        0.637408       -0.147643       -0.756249        -2.19814        -23.1945         1.34166         2.96605        0.936329               0       -0.351123       -0.872524        -18.0934         1.53858         2.01556
