           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected        0.990148       0.0990148       0.0990148     8.53774e-07               0               0               1               0               0               0               0               0               0               1
               2     -0.00160145        0.335672       -0.941978         -2.6499        -6.60991        0.932116         5.09538        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3       0.0705574       0.0620416       -0.995576       -0.587559        -4.98948       -0.421018         2.20884        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4      -0.0420511        0.463519       -0.885089       -0.905406         2.19897        0.138174        0.879505        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5      -0.0800049        0.811399       -0.578991         1.03446        -1.74951        0.184397         1.01394        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
