           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected        0.986277       0.0154106        0.164379              -0               0              -0               1               0               0               0               0               0               0               1
               2       0.0933245      -0.0269607       -0.995271        -3.65376        -8.82683         1.05281         3.75069        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3        0.107034       -0.126348       -0.986195        -1.42154        -6.68875       -0.206977         1.84852        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4       0.0134459       -0.106292       -0.994244        -1.87371        -2.19548      -0.0340006         1.64273        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5      -0.0112504       -0.240705       -0.970533       -0.302531        -2.98816        0.245501        0.970365        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
