           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
           0_ref        0.178515       -0.122729        0.976253    -8.53774e-07               0     8.53774e-07               1               0               0               0               0               0               0               1
               1       0.0530204       -0.706728        0.705496        -2.43007        -15.0893         1.92826         1.90673               1               0               0        -1.78574        -5.48277         2.10732         1.14018
               2        0.177243      -0.0671986         0.98187        -2.81474        -15.0977         1.16751         1.80459        0.894427               0        0.447214        -2.14282        -6.57735         1.65843         1.34371
               3        0.129973       -0.143083        0.981139       -0.769517         8.91977          1.7898        0.828162        0.707107               0        0.707107        0.726331        -5.06869         2.61766         1.32543
               4        0.183836       -0.102043       -0.977646       -0.909419        -16.7408         1.26964         2.11612        0.847998               0       -0.529999        -1.41462        -10.7999         2.22505         1.51687
               5        0.322419        0.153963        0.933992         0.67852        -22.9648         1.06393         3.53101        0.928477               0        0.371391       -0.188722        -16.6671          1.2212         2.54951
               9        0.667774      -0.0788784       -0.740173       -0.583798        -24.0305         1.31445         3.45989        0.936329               0       -0.351123       -0.872524        -18.0934         1.53858         2.01556
