           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected       -0.982612         0.02303        -0.18424               0              -0              -0               1               0               0               0               0               0               0               1
               2        0.108826       -0.138597       -0.984352        -3.76426        -7.64506        0.995667         3.66462        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3       0.0864411       -0.131182       -0.987582        -1.46609         -4.9106       -0.260205          1.6101        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4       0.0112249       -0.108636       -0.994018        -1.92806        -1.00635      -0.0830411         1.18274        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5      -0.0303066      -0.0929136       -0.995213       -0.180694        -3.30045        0.315039         1.11697        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
