           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
           0_ref       -0.178517      -0.0641545        0.981843               0               0               0               1               0               0               0               0               0               0               1
               1        0.294286      -0.0830016        0.952106        -1.11241         -2.7072         1.84405         0.78546               1               0               0        -1.78574        -5.48277         2.10732         1.14018
               2        0.337098      -0.0758532        0.938409        -2.28525         3.20109        0.845912        0.610579        0.894427               0        0.447214        -2.14282        -6.57735         1.65843         1.34371
               3        0.346423        0.341314        0.873782         2.73152         6.30669         4.24461        0.507141        0.707107               0        0.707107        0.726331        -5.06869         2.61766         1.32543
               4       -0.018115      -0.0487082       -0.998649       -0.191304        -6.35537         1.10851         1.56195        0.847998               0       -0.529999        -1.41462        -10.7999         2.22505         1.51687
               5        0.451724        0.463102         0.76255          2.9977        -11.2308        0.449988         25.6984        0.928477               0        0.371391       -0.188722        -16.6671          1.2212         2.54951
               9        0.619487       0.0300386       -0.784432         1.57918        -15.4741        0.467851         3.40042        0.936329               0       -0.351123       -0.872524        -18.0934         1.53858         2.01556
