           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected               0               1               0               0               0    -8.53774e-07               1               0               0               0               0               0               0               1
               2        0.140058       -0.130249       -0.981539        -3.87665        -8.82784         1.21905         9.65322        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3       0.0879534      -0.0450554       -0.995105        -1.27886        -5.41442       -0.230231          1.6173        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4       0.0226783       -0.165415       -0.985963        -2.10472        -1.11902       0.0121219         1.56228        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5      -0.0177639       -0.216739       -0.976068       -0.416214        -3.30113        0.610855         1.12109        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
