           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
           0_ref               0       -0.124035        0.992278               0               0               0               1               0               0               0               0               0               0               1
               1        0.134655        0.376714        0.916491        -0.85688        -5.22208         1.13483        0.379268               1               0               0        -1.78574        -5.48277         2.10732         1.14018
               2        0.287646        0.009312        0.957691        -1.78782         -8.1294        0.332889        0.411726        0.894427               0        0.447214        -2.14282        -6.57735         1.65843         1.34371
               3        0.300133        0.251378        0.920179         2.35722         -3.2589         2.77453       0.0782986        0.707107               0        0.707107        0.726331        -5.06869         2.61766         1.32543
               4       0.0941687      -0.0917404        -0.99132       -0.631688        -10.1527         1.03828         1.29369        0.847998               0       -0.529999        -1.41462        -10.7999         2.22505         1.51687
               5        0.425944       0.0947723        0.899772        0.697856        -17.0482        0.425609        0.271891        0.928477               0        0.371391       -0.188722        -16.6671          1.2212         2.54951
               9        0.615321      -0.0945088        -0.78259       -0.727819        -17.6943         1.08537         0.21319        0.936329               0       -0.351123       -0.872524        -18.0934         1.53858         2.01556
