           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
           0_ref       -0.991675      -0.0348636        0.123959               0               0               0               1               0               0               0               0               0               0               1
               1        0.139138       -0.104426        0.984752        -1.36614        -8.21312         1.24673         1.21199               1               0               0        -1.78574        -5.48277         2.10732         1.14018
               2        0.229493       0.0621475        0.971324        -1.53837        -8.05132        0.721531        0.972504        0.894427               0        0.447214        -2.14282        -6.57735         1.65843         1.34371
               3        0.279146        0.131974        0.951136         1.33344        -5.22525         2.92545         0.68219        0.707107               0        0.707107        0.726331        -5.06869         2.61766         1.32543
               4        0.126742       -0.156843       -0.979457       -0.961342        -11.1974         1.32469         1.49559        0.847998               0       -0.529999        -1.41462        -10.7999         2.22505         1.51687
               5        0.387166       0.0493392        0.920689        0.362509        -17.8901        0.693762         2.24005        0.928477               0        0.371391       -0.188722        -16.6671          1.2212         2.54951
               9        0.638803      -0.0780162       -0.765405       -0.160337        -18.9112        0.799294         2.46709        0.936329               0       -0.351123       -0.872524        -18.0934         1.53858         2.01556
