           fname               x               y               z          thetax          thetay          thetaz      dist_ratio           realx           realy           realz      realthetax      realthetay      realthetaz  realdist_ratio
   ref_corrected       -0.809916        0.430268         0.39863               0               0              -0               1               0               0               0               0               0               0               1
               2        0.138682       0.0652543       -0.988185        -3.33137        -8.47818        0.740622         3.68857        0.905363               0        0.424639        -3.37794        -9.34735         1.02013         3.89363
               3         0.13253       -0.160866       -0.978038        -1.19008        -7.29593        -0.58339         2.20511        0.998688               0       0.0512148        -1.32743        -5.71345       -0.188487         1.64614
               4       0.0823457      -0.0298844       -0.996156        -1.72538        -2.48717       -0.299076         1.37577        0.999347               0        0.036121        -1.71564        -2.47614        0.346998         1.09655
               5     -0.00970197        0.783259       -0.621619       0.0830812        -4.10447        0.137988         1.18905        0.995037               0       0.0995037       0.0546067        -4.48679        0.245264         1.03436
